[init] ctx ok, alloc flat memory...
[preload] mem img: 1210 blocks, 19360 KB, hwbase=0x029b0000, flat never allocated
[init] t386 cpu up
[init] Smw5 file (1998848 bytes)
[init] snapshot Hw base = 0x029b0000
[init] Hw file (1097728 bytes)
[init] Smw5 @0x10000000 (269 imports), Hw @0x029b0000 (235 imports)
[init] snapshot overlay: 0 regions
[init] IAT re-patched: 504 slots
[init] ctx ok, alloc flat memory...
[preload] mem img: 1210 blocks, 19360 KB, hwbase=0x029b0000, flat never allocated
[init] t386 cpu up
[init] snapshot Hw base = 0x029b0000
[init] Smw5 @0x10000000 (269 imports), Hw @0x029b0000 (235 imports)
[init] snapshot overlay: 0 regions
[init] IAT re-patched: 504 slots
[load] MaSound_Load -> 1
[oss] Seek -> 0
[oss] Start -> 0
[seq] pump start entry=0x100a65e0 arg=0x1023bdc8
[aud] pump start dev=0x1e3d78 buf=0x3554bd0 ring=0x600034f0 mode=5 a739=00 a73c=0 a740=1008c3c0 fb290=103b1410 fb28c=103b1408
[bass] t=34.6707 ch=15 wv=1375119d st=2 ph=1265 step=3ed8 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=34.6760 ch=15 wv=1375119d st=4 ph=7 step=3ed8 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=36.0147 ch=15 wv=1375119d st=1 ph=989 step=3ed8 env=7c98008b gL=bed gR=bed ls=1167 end=1327
[bass] t=36.2387 ch=15 wv=1375119d st=0 ph=1154 step=3ed8 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=38.1853 ch=07 wv=1375119d st=2 ph=224 step=5000 env=0 gL=b52 gR=1554 ls=1239 end=1239
[bass] t=38.1933 ch=07 wv=cb847f84 st=5 ph=10 step=5000 env=80000000 gL=b52 gR=1554 ls=1239 end=1239
[bass] t=47.8547 ch=15 wv=1375119d st=2 ph=1154 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=47.8600 ch=15 wv=1375119d st=4 ph=4 step=2348 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=50.9267 ch=15 wv=1375119d st=1 ph=1270 step=2348 env=7858574a gL=bed gR=bed ls=1167 end=1327
[bass] t=51.1133 ch=07 wv=cb847f84 st=2 ph=1239 step=4000 env=0 gL=23d0 gR=23d0 ls=937 end=937
[bass] t=51.1213 ch=07 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=23d0 gR=23d0 ls=937 end=937
[bass] t=51.1507 ch=15 wv=1375119d st=0 ph=1202 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=62.6333 ch=07 wv=7fff7fff st=2 ph=937 step=6550 env=0 gL=ab0 gR=ab0 ls=2971 end=2971
[bass] t=62.6387 ch=15 wv=1375119d st=2 ph=1202 step=7db0 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=62.6413 ch=07 wv=7fff7fff st=5 ph=12 step=6550 env=80000000 gL=ab0 gR=ab0 ls=2971 end=2971
[bass] t=62.6440 ch=15 wv=1375119d st=4 ph=15 step=7db0 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=63.9827 ch=15 wv=1375119d st=1 ph=1179 step=7db0 env=7c98008b gL=bed gR=bed ls=1167 end=1327
[bass] t=64.2067 ch=15 wv=1375119d st=0 ph=1189 step=7db0 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=74.3453 ch=07 wv=7fff7fff st=2 ph=2971 step=5000 env=0 gL=bff gR=1699 ls=1239 end=1239
[bass] t=74.3533 ch=07 wv=cb847f84 st=5 ph=10 step=5000 env=80000000 gL=bff gR=1699 ls=1239 end=1239
[bass] t=77.4227 ch=15 wv=1375119d st=2 ph=1189 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=77.4280 ch=15 wv=1375119d st=4 ph=4 step=2348 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=77.9347 ch=15 wv=1375119d st=1 ph=211 step=2348 env=7eb14d93 gL=bed gR=bed ls=1167 end=1327
[bass] t=78.1587 ch=15 wv=1375119d st=0 ph=304 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=87.5293 ch=07 wv=cb847f84 st=2 ph=1239 step=5000 env=0 gL=bff gR=1699 ls=1239 end=1239
[bass] t=87.5373 ch=07 wv=cb847f84 st=5 ph=10 step=5000 env=80000000 gL=bff gR=1699 ls=1239 end=1239
[bass] t=90.6067 ch=15 wv=1375119d st=2 ph=304 step=4000 env=0 gL=d75 gR=d75 ls=937 end=937
[bass] t=90.6120 ch=15 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=d75 gR=d75 ls=937 end=937
[bass] t=97.3853 ch=07 wv=cb847f84 st=2 ph=1239 step=52a0 env=0 gL=1423 gR=25f0 ls=3323 end=3323
[bass] t=97.3933 ch=07 wv=5756bb56 st=5 ph=10 step=52a0 env=80000000 gL=1423 gR=25f0 ls=3323 end=3323
[bass] t=103.7267 ch=15 wv=7fff7fff st=2 ph=937 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=103.7320 ch=15 wv=7fff7fff st=4 ph=4 step=2348 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=104.2387 ch=15 wv=1375119d st=1 ph=211 step=2348 env=7eb14d93 gL=bed gR=bed ls=1167 end=1327
[bass] t=104.4627 ch=15 wv=1375119d st=0 ph=304 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=111.9773 ch=07 wv=5756bb56 st=2 ph=3323 step=6550 env=0 gL=ab0 gR=ab0 ls=2971 end=2971
[bass] t=111.9853 ch=07 wv=7fff7fff st=5 ph=12 step=6550 env=80000000 gL=ab0 gR=ab0 ls=2971 end=2971
[bass] t=116.9107 ch=15 wv=1375119d st=2 ph=304 step=4000 env=0 gL=d75 gR=d75 ls=937 end=937
[bass] t=116.9160 ch=15 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=d75 gR=d75 ls=937 end=937
[bass] t=123.4333 ch=07 wv=7fff7fff st=2 ph=2971 step=3ed8 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=123.4413 ch=07 wv=1375119d st=4 ph=7 step=3ed8 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=126.6813 ch=07 wv=1375119d st=1 ph=1247 step=3ed8 env=77eba9d3 gL=bed gR=bed ls=1167 end=1327
[bass] t=126.9053 ch=07 wv=1375119d st=0 ph=1252 step=3ed8 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=130.0147 ch=15 wv=7fff7fff st=2 ph=937 step=4000 env=0 gL=23d0 gR=23d0 ls=937 end=937
[bass] t=130.0200 ch=15 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=23d0 gR=23d0 ls=937 end=937
[bass] t=139.8653 ch=07 wv=1375119d st=2 ph=1252 step=3ed8 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=139.8733 ch=07 wv=1375119d st=4 ph=7 step=3ed8 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=141.2093 ch=07 wv=1375119d st=1 ph=989 step=3ed8 env=7c98008b gL=bed gR=bed ls=1167 end=1327
[bass] t=141.4333 ch=07 wv=1375119d st=0 ph=1154 step=3ed8 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=141.5347 ch=15 wv=7fff7fff st=2 ph=937 step=6550 env=0 gL=ab0 gR=ab0 ls=2971 end=2971
[bass] t=141.5400 ch=15 wv=7fff7fff st=5 ph=12 step=6550 env=80000000 gL=ab0 gR=ab0 ls=2971 end=2971
[bass] t=153.0493 ch=07 wv=1375119d st=2 ph=1154 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=153.0547 ch=15 wv=7fff7fff st=2 ph=2971 step=4000 env=0 gL=17ef gR=17ef ls=937 end=937
[bass] t=153.0573 ch=07 wv=1375119d st=4 ph=4 step=2348 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=153.0600 ch=15 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=17ef gR=17ef ls=937 end=937
[bass] t=156.1213 ch=07 wv=1375119d st=1 ph=1270 step=2348 env=7858574a gL=bed gR=bed ls=1167 end=1327
[bass] t=156.3453 ch=07 wv=1375119d st=0 ph=1202 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=166.1747 ch=15 wv=7fff7fff st=2 ph=937 step=4000 env=0 gL=195b gR=195b ls=937 end=937
[bass] t=166.1800 ch=15 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=195b gR=195b ls=937 end=937
[bass] t=167.8333 ch=07 wv=1375119d st=2 ph=1202 step=7db0 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=167.8413 ch=07 wv=1375119d st=4 ph=15 step=7db0 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=169.1773 ch=07 wv=1375119d st=1 ph=1179 step=7db0 env=7c98008b gL=bed gR=bed ls=1167 end=1327
[bass] t=169.4013 ch=07 wv=1375119d st=0 ph=1189 step=7db0 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=177.6947 ch=15 wv=7fff7fff st=2 ph=937 step=4000 env=0 gL=10f1 gR=10f1 ls=937 end=937
[bass] t=177.7000 ch=15 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=10f1 gR=10f1 ls=937 end=937
[bass] t=182.6173 ch=07 wv=1375119d st=2 ph=1189 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=182.6253 ch=07 wv=1375119d st=4 ph=4 step=2348 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=183.1293 ch=07 wv=1375119d st=1 ph=211 step=2348 env=7eb14d93 gL=bed gR=bed ls=1167 end=1327
[bass] t=183.3533 ch=07 wv=1375119d st=0 ph=304 step=2348 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=190.8147 ch=15 wv=7fff7fff st=2 ph=937 step=6550 env=0 gL=d75 gR=d75 ls=2971 end=2971
[bass] t=190.8200 ch=15 wv=7fff7fff st=5 ph=12 step=6550 env=80000000 gL=d75 gR=d75 ls=2971 end=2971
[bass] t=195.8013 ch=07 wv=1375119d st=2 ph=304 step=42a0 env=0 gL=e41 gR=cb4 ls=2772 end=3525
[bass] t=195.8093 ch=07 wv=77a542c1 st=5 ph=8 step=42a0 env=7f9a67bf gL=e41 gR=cb4 ls=2772 end=3525
[bass] t=202.3347 ch=15 wv=7fff7fff st=2 ph=2971 step=2f18 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=202.3400 ch=15 wv=7fff119d st=4 ph=5 step=2f18 env=7ff96be4 gL=bed gR=bed ls=1167 end=1327
[bass] t=205.5987 ch=15 wv=1375119d st=1 ph=1259 step=2f18 env=77e1cd79 gL=bed gR=bed ls=1167 end=1327
[halt] unexpected EIP=0x029b1c9a iter=67
[bass] t=205.8227 ch=15 wv=1375119d st=0 ph=1222 step=2f18 env=0 gL=bed gR=bed ls=1167 end=1327
[bass] t=212.1853 ch=07 wv=77a542c1 st=2 ph=3003 step=5000 env=0 gL=d75 gR=195b ls=1239 end=1239
[bass] t=212.1933 ch=07 wv=cb847f84 st=5 ph=10 step=5000 env=80000000 gL=d75 gR=195b ls=1239 end=1239
[bass] t=225.3747 ch=15 wv=1375119d st=2 ph=1222 step=5000 env=0 gL=55b gR=a17 ls=1239 end=1239
[bass] t=225.3800 ch=15 wv=cb847f84 st=5 ph=10 step=5000 env=80000000 gL=55b gR=a17 ls=1239 end=1239
[bass] t=235.2253 ch=07 wv=cb847f84 st=2 ph=1239 step=52a0 env=0 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=235.2333 ch=07 wv=5756bb56 st=5 ph=10 step=52a0 env=80000000 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=248.3507 ch=15 wv=cb847f84 st=2 ph=1239 step=52a0 env=0 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=248.3560 ch=15 wv=5756bb56 st=5 ph=10 step=52a0 env=80000000 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=258.2493 ch=07 wv=5756bb56 st=2 ph=3323 step=5000 env=0 gL=d75 gR=195b ls=1239 end=1239
[bass] t=258.2573 ch=07 wv=cb847f84 st=5 ph=10 step=5000 env=80000000 gL=d75 gR=195b ls=1239 end=1239
[bass] t=271.4387 ch=15 wv=5756bb56 st=2 ph=3323 step=4000 env=0 gL=195b gR=195b ls=937 end=937
[bass] t=271.4440 ch=15 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=195b gR=195b ls=937 end=937
[bass] t=278.1533 ch=07 wv=cb847f84 st=2 ph=1239 step=5000 env=0 gL=55b gR=a17 ls=1239 end=1239
[bass] t=278.1613 ch=07 wv=cb847f84 st=5 ph=10 step=5000 env=80000000 gL=55b gR=a17 ls=1239 end=1239
[bass] t=294.6067 ch=15 wv=7fff7fff st=2 ph=937 step=52a0 env=0 gL=1adb gR=3296 ls=3323 end=3323
[bass] t=294.6120 ch=15 wv=5756bb56 st=5 ph=10 step=52a0 env=80000000 gL=1adb gR=3296 ls=3323 end=3323
[bass] t=301.1933 ch=07 wv=cb847f84 st=2 ph=1239 step=52a0 env=0 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=301.2013 ch=07 wv=5756bb56 st=5 ph=10 step=52a0 env=80000000 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=314.3187 ch=15 wv=5756bb56 st=2 ph=3323 step=52a0 env=0 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=314.3240 ch=15 wv=5756bb56 st=5 ph=10 step=52a0 env=80000000 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=324.0413 ch=07 wv=5756bb56 st=2 ph=3323 step=4000 env=0 gL=195b gR=195b ls=937 end=937
[bass] t=324.0493 ch=07 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=195b gR=195b ls=937 end=937
[bass] t=337.0387 ch=15 wv=5756bb56 st=2 ph=3323 step=5000 env=0 gL=d75 gR=195b ls=1239 end=1239
[bass] t=337.0440 ch=15 wv=cb847f84 st=5 ph=10 step=5000 env=80000000 gL=d75 gR=195b ls=1239 end=1239
[bass] t=347.2093 ch=07 wv=7fff7fff st=2 ph=937 step=52a0 env=0 gL=1adb gR=3296 ls=3323 end=3323
[bass] t=347.2173 ch=07 wv=5756bb56 st=5 ph=10 step=52a0 env=80000000 gL=1adb gR=3296 ls=3323 end=3323
[bass] t=357.0707 ch=15 wv=cb847f84 st=2 ph=1239 step=5000 env=0 gL=55b gR=a17 ls=1239 end=1239
[bass] t=357.0760 ch=15 wv=cb847f84 st=5 ph=10 step=5000 env=80000000 gL=55b gR=a17 ls=1239 end=1239
[bass] t=366.9213 ch=07 wv=5756bb56 st=2 ph=3323 step=52a0 env=0 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=366.9293 ch=07 wv=5756bb56 st=5 ph=10 step=52a0 env=80000000 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=380.0467 ch=15 wv=cb847f84 st=2 ph=1239 step=52a0 env=0 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=380.0520 ch=15 wv=5756bb56 st=5 ph=10 step=52a0 env=80000000 gL=17ef gR=2d16 ls=3323 end=3323
[bass] t=389.7533 ch=07 wv=5756bb56 st=2 ph=3323 step=6550 env=0 gL=282f gR=282f ls=2971 end=2971
[bass] t=389.7613 ch=07 wv=7fff7fff st=5 ph=12 step=6550 env=80000000 gL=282f gR=282f ls=2971 end=2971
[bass] t=402.9427 ch=15 wv=5756bb56 st=2 ph=3323 step=6550 env=0 gL=282f gR=282f ls=2971 end=2971
[bass] t=402.9480 ch=15 wv=7fff7fff st=5 ph=12 step=6550 env=80000000 gL=282f gR=282f ls=2971 end=2971
[bass] t=411.2573 ch=07 wv=7fff7fff st=2 ph=2971 step=4000 env=0 gL=23d0 gR=23d0 ls=937 end=937
[bass] t=411.2653 ch=07 wv=7fff7fff st=5 ph=8 step=4000 env=80000000 gL=23d0 gR=23d0 ls=937 end=937
[bass] t=415.9933 ch=07 wv=7fff7fff st=0 ph=937 step=4000 env=0 gL=0 gR=0 ls=937 end=937
[bass] t=415.9987 ch=15 wv=7fff7fff st=0 ph=2971 step=6550 env=0 gL=0 gR=0 ls=2971 end=2971
[seq] thread returned (restart next pump)
[seq] pump start entry=0x100a65e0 arg=0x1023bdc8
